age;job;marital;education;default;housing;loan;duration;campaign;pdays;previous;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
56;housemaid;married;basic.4y;no;no;no;261;1;999;0;1.1;93.994;-36.4;4.857;5191;0
57;services;married;high.school;unknown;no;no;149;1;999;0;1.1;93.994;-36.4;4.857;5191;0
37;services;married;high.school;no;yes;no;226;1;999;0;1.1;93.994;-36.4;4.857;5191;0
40;admin.;married;basic.6y;no;no;no;151;1;999;0;1.1;93.994;-36.4;4.857;5191;0
56;services;married;high.school;no;no;yes;307;1;999;0;1.1;93.994;-36.4;4.857;5191;0
45;services;married;basic.9y;unknown;no;no;198;1;999;0;1.1;93.994;-36.4;4.857;5191;0
59;admin.;married;professional.course;no;no;no;139;1;999;0;1.1;93.994;-36.4;4.857;5191;0
41;blue-collar;married;unknown;unknown;no;no;217;1;999;0;1.1;93.994;-36.4;4.857;5191;0
24;technician;single;professional.course;no;yes;no;380;1;999;0;1.1;93.994;-36.4;4.857;5191;0
25;services;single;high.school;no;yes;no;50;1;999;0;1.1;93.994;-36.4;4.857;5191;0
41;blue-collar;married;unknown;unknown;no;no;55;1;999;0;1.1;93.994;-36.4;4.857;5191;0
25;services;single;high.school;no;yes;no;222;1;999;0;1.1;93.994;-36.4;4.857;5191;0
29;blue-collar;single;high.school;no;no;yes;137;1;999;0;1.1;93.994;-36.4;4.857;5191;0
57;housemaid;divorced;basic.4y;no;yes;no;293;1;999;0;1.1;93.994;-36.4;4.857;5191;0
35;blue-collar;married;basic.6y;no;yes;no;146;1;999;0;1.1;93.994;-36.4;4.857;5191;0
54;retired;married;basic.9y;unknown;yes;yes;174;1;999;0;1.1;93.994;-36.4;4.857;5191;0
35;blue-collar;married;basic.6y;no;yes;no;312;1;999;0;1.1;93.994;-36.4;4.857;5191;0
46;blue-collar;married;basic.6y;unknown;yes;yes;440;1;999;0;1.1;93.994;-36.4;4.857;5191;0
50;blue-collar;married;basic.9y;no;yes;yes;353;1;999;0;1.1;93.994;-36.4;4.857;5191;0
39;management;single;basic.9y;unknown;no;no;195;1;999;0;1.1;93.994;-36.4;4.857;5191;0
30;unemployed;married;high.school;no;no;no;38;1;999;0;1.1;93.994;-36.4;4.857;5191;0
55;blue-collar;married;basic.4y;unknown;yes;no;262;1;999;0;1.1;93.994;-36.4;4.857;5191;0
55;retired;single;high.school;no;yes;no;342;1;999;0;1.1;93.994;-36.4;4.857;5191;0
41;technician;single;high.school;no;yes;no;181;1;999;0;1.1;93.994;-36.4;4.857;5191;0
37;admin.;married;high.school;no;yes;no;172;1;999;0;1.1;93.994;-36.4;4.857;5191;0
35;technician;married;university.degree;no;no;yes;99;1;999;0;1.1;93.994;-36.4;4.857;5191;0
59;technician;married;unknown;no;yes;no;93;1;999;0;1.1;93.994;-36.4;4.857;5191;0
39;self-employed;married;basic.9y;unknown;no;no;233;1;999;0;1.1;93.994;-36.4;4.857;5191;0
54;technician;single;university.degree;unknown;no;no;255;2;999;0;1.1;93.994;-36.4;4.857;5191;0
55;unknown;married;university.degree;unknown;unknown;unknown;362;1;999;0;1.1;93.994;-36.4;4.857;5191;0
46;admin.;married;unknown;no;no;no;348;1;999;0;1.1;93.994;-36.4;4.857;5191;0
59;technician;married;unknown;no;yes;no;386;1;999;0;1.1;93.994;-36.4;4.857;5191;0
49;blue-collar;married;unknown;no;no;no;73;1;999;0;1.1;93.994;-36.4;4.857;5191;0
54;management;married;basic.4y;unknown;yes;no;230;1;999;0;1.1;93.994;-36.4;4.857;5191;0
54;blue-collar;divorced;basic.4y;no;no;no;208;1;999;0;1.1;93.994;-36.4;4.857;5191;0
55;unknown;married;basic.4y;unknown;yes;no;336;1;999;0;1.1;93.994;-36.4;4.857;5191;0
34;services;married;high.school;no;no;no;365;1;999;0;1.1;93.994;-36.4;4.857;5191;0
52;technician;married;basic.9y;no;yes;no;1666;1;999;0;1.1;93.994;-36.4;4.857;5191;0
41;admin.;married;university.degree;no;yes;no;577;1;999;0;1.1;93.994;-36.4;4.857;5191;0
56;technician;married;basic.4y;no;yes;no;137;1;999;0;1.1;93.994;-36.4;4.857;5191;0
58;management;unknown;university.degree;no;yes;no;366;1;999;0;1.1;93.994;-36.4;4.857;5191;0
32;entrepreneur;married;high.school;no;yes;no;314;1;999;0;1.1;93.994;-36.4;4.857;5191;0
38;admin.;single;professional.course;no;no;no;160;1;999;0;1.1;93.994;-36.4;4.857;5191;0
57;admin.;married;university.degree;no;no;yes;212;1;999;0;1.1;93.994;-36.4;4.857;5191;0
44;admin.;married;university.degree;unknown;yes;no;188;1;999;0;1.1;93.994;-36.4;4.857;5191;0
42;technician;single;professional.course;unknown;no;no;22;1;999;0;1.1;93.994;-36.4;4.857;5191;0
57;admin.;married;university.degree;no;yes;yes;616;1;999;0;1.1;93.994;-36.4;4.857;5191;0
40;blue-collar;married;basic.9y;no;no;yes;178;1;999;0;1.1;93.994;-36.4;4.857;5191;0
35;admin.;married;university.degree;no;yes;no;355;1;999;0;1.1;93.994;-36.4;4.857;5191;0
45;blue-collar;married;basic.9y;no;yes;no;225;2;999;0;1.1;93.994;-36.4;4.857;5191;0
54;admin.;married;high.school;no;no;no;160;1;999;0;1.1;93.994;-36.4;4.857;5191;0
39;housemaid;married;basic.4y;no;no;yes;266;1;999;0;1.1;93.994;-36.4;4.857;5191;0
60;admin.;married;high.school;no;no;no;253;1;999;0;1.1;93.994;-36.4;4.857;5191;0
53;admin.;single;professional.course;no;no;no;179;1;999;0;1.1;93.994;-36.4;4.857;5191;0
55;blue-collar;married;basic.4y;unknown;no;no;269;2;999;0;1.1;93.994;-36.4;4.857;5191;0
55;technician;married;professional.course;unknown;yes;no;135;1;999;0;1.1;93.994;-36.4;4.857;5191;0
50;management;married;university.degree;unknown;no;yes;161;1;999;0;1.1;93.994;-36.4;4.857;5191;0
45;services;married;high.school;unknown;yes;no;787;1;999;0;1.1;93.994;-36.4;4.857;5191;0
55;unemployed;married;professional.course;unknown;yes;yes;145;1;999;0;1.1;93.994;-36.4;4.857;5191;0
25;technician;single;university.degree;no;yes;no;174;1;999;0;1.1;93.994;-36.4;4.857;5191;0
47;entrepreneur;married;university.degree;unknown;no;no;449;1;999;0;1.1;93.994;-36.4;4.857;5191;0
51;blue-collar;married;basic.9y;no;yes;no;812;1;999;0;1.1;93.994;-36.4;4.857;5191;0
